127.0.0.1 - - [18/Feb/2019:17:58:43 +0700] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [18/Feb/2019:17:58:45 +0700] "GET /PizzaOrderSystem/TestCard.jsp HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [18/Feb/2019:17:58:45 +0700] "GET /PizzaOrderSystem/images/pizza1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2019:17:58:45 +0700] "GET /PizzaOrderSystem/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [18/Feb/2019:17:58:45 +0700] "GET /PizzaOrderSystem/... HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:06:21 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:06:21 +0700] "GET /PizzaOrderSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:06:22 +0700] "GET /PizzaOrderSystem/images/logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:07:31 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:07:46 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:07:53 +0700] "GET /PizzaOrderSystem/Employee.jsp HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:16:14 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:17:59 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:19:00 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:19:25 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:21:46 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:22:06 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:33:06 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:37:03 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:38:03 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:42:14 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:53:16 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [18/Feb/2019:18:55:55 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2727
