0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/Chicken-Caldo1.png HTTP/1.1" 200 238671
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/Nuggets1.png HTTP/1.1" 200 56560
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/itm1.png HTTP/1.1" 200 116709
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/Spicy-Wing1.png HTTP/1.1" 200 122669
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/bread1.png HTTP/1.1" 200 69203
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/bg-navigation.gif HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/braces-left.gif HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/images/braces-right.gif HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:21 +0700] "GET /PizzaOrderSystem/fonts/dynalight-regular-webfont.woff HTTP/1.1" 200 32992
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:42 +0700] "GET /PizzaOrderSystem/Member.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:48 +0700] "GET /PizzaOrderSystem/Orderlist.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:27:01 +0700] "GET /PizzaOrderSystem/Home.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:29:39 +0700] "GET /PizzaOrderSystem/images/menu2_hover.jpg HTTP/1.1" 200 69600
